employerId,week,total_wages,participant_count,prevCount
379,1,3563.988527,1,0
379,2,888.7053343,1,1
379,3,888.7053343,1,1
379,4,888.7053343,1,1
379,5,888.7053343,1,1
379,6,888.7053343,1,1
379,7,888.7053343,1,1
379,8,888.7053343,1,1
379,9,888.7053343,1,1
379,10,888.7053343,1,1
379,11,888.7053343,1,1
379,12,888.7053343,1,1
379,13,888.7053343,1,1
379,14,888.7053343,1,1
379,15,888.7053343,1,1
379,16,888.7053343,1,1
379,17,888.7053343,1,1
379,18,888.7053343,1,1
379,19,888.7053343,1,1
379,20,888.7053343,1,1
379,21,888.7053343,1,1
379,22,888.7053343,1,1
379,23,888.7053343,1,1
379,24,888.7053343,1,1
379,25,888.7053343,1,1
379,26,888.7053343,1,1
379,27,888.7053343,1,1
379,28,888.7053343,1,1
379,29,888.7053343,1,1
379,30,888.7053343,1,1
379,31,888.7053343,1,1
379,32,888.7053343,1,1
379,33,888.7053343,1,1
379,34,888.7053343,1,1
379,35,888.7053343,1,1
379,36,888.7053343,1,1
379,37,888.7053343,1,1
379,38,888.7053343,1,1
379,39,888.7053343,1,1
379,40,888.7053343,1,1
379,41,888.7053343,1,1
379,42,888.7053343,1,1
379,43,888.7053343,1,1
379,44,888.7053343,1,1
379,45,888.7053343,1,1
379,46,888.7053343,1,1
379,47,888.7053343,1,1
379,48,888.7053343,1,1
379,49,888.7053343,1,1
379,50,888.7053343,1,1
379,51,888.7053343,1,1
379,52,888.7053343,1,1
379,53,888.7053343,1,1
379,54,888.7053343,1,1
379,55,888.7053343,1,1
379,56,888.7053343,1,1
379,57,888.7053343,1,1
379,58,888.7053343,1,1
379,59,888.7053343,1,1
379,60,888.7053343,1,1
379,61,888.7053343,1,1
379,62,888.7053343,1,1
379,63,888.7053343,1,1
379,64,888.7053343,1,1
379,65,355.4821337,1,1
381,1,12380.03155,4,0
381,2,2960.344603,4,4
381,3,2960.344603,4,4
381,4,2960.344603,4,4
381,5,2960.344603,4,4
381,6,2960.344603,4,4
381,7,2960.344603,4,4
381,8,2960.344603,4,4
381,9,2960.344603,4,4
381,10,2960.344603,4,4
381,11,2960.344603,4,4
381,12,2960.344603,4,4
381,13,2960.344603,4,4
381,14,2960.344603,4,4
381,15,2960.344603,4,4
381,16,2960.344603,4,4
381,17,2960.344603,4,4
381,18,2960.344603,4,4
381,19,2960.344603,4,4
381,20,2960.344603,4,4
381,21,2960.344603,4,4
381,22,2960.344603,4,4
381,23,2960.344603,4,4
381,24,2960.344603,4,4
381,25,2960.344603,4,4
381,26,2960.344603,4,4
381,27,2960.344603,4,4
381,28,2960.344603,4,4
381,29,2960.344603,4,4
381,30,2960.344603,4,4
381,31,2960.344603,4,4
381,32,2960.344603,4,4
381,33,2960.344603,4,4
381,34,2960.344603,4,4
381,35,2960.344603,4,4
381,36,2960.344603,4,4
381,37,2960.344603,4,4
381,38,2960.344603,4,4
381,39,2960.344603,4,4
381,40,2960.344603,4,4
381,41,2960.344603,4,4
381,42,2960.344603,4,4
381,43,2960.344603,4,4
381,44,2960.344603,4,4
381,45,2960.344603,4,4
381,46,2960.344603,4,4
381,47,2960.344603,4,4
381,48,2960.344603,4,4
381,49,2960.344603,4,4
381,50,2960.344603,4,4
381,51,2960.344603,4,4
381,52,2960.344603,4,4
381,53,2960.344603,4,4
381,54,2960.344603,4,4
381,55,2960.344603,4,4
381,56,2960.344603,4,4
381,57,2960.344603,4,4
381,58,2960.344603,4,4
381,59,2960.344603,4,4
381,60,2960.344603,4,4
381,61,2960.344603,4,4
381,62,2960.344603,4,4
381,63,2960.344603,4,4
